dest_name,source_path,bytes,title,finding
symbolic_derivations.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\symbolic_derivations.md,4906,symbolic_derivations.ipynb,"The master integrand G(s)·K(s) is integrated over the domain [0, 2π]. The result confirms the structural form of the master equation and establishes the normalization convention."
test03_pt_biblical_complexity.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\test03_pt_biblical_complexity.md,3652,test03_pt_biblical_complexity.ipynb,## The Result
test04_grace_response_time.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\test04_grace_response_time.md,2576,test04_grace_response_time.ipynb,**Status:** Fully Executed — PASSED
test05_prophecy_precision.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\test05_prophecy_precision.md,2388,test05_prophecy_precision.ipynb,**Status:** Fully Executed — PASSED
test06_sin_complexity.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\test06_sin_complexity.md,2904,test06_sin_complexity.ipynb,**Status:** Fully Executed — PASSED
test07_community_scaling.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\test07_community_scaling.md,2834,test07_community_scaling.ipynb,**Status:** Fully Executed — PASSED
test08_revelation_density.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\test08_revelation_density.md,3440,test08_revelation_density.ipynb,**Status:** Fully Executed — PASSED
test09_constraint_satisfaction.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\test09_constraint_satisfaction.md,4179,test09_constraint_satisfaction.ipynb,"The result holds at deterministic seed 2828. Run it with any other seed and the constraint evaluation structure doesn't change, because the constraints are categorical, not probabilistic. The ""biblica"
test3_pt_validation.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\test3_pt_validation.md,3539,test3_pt_validation.ipynb,"The validation notebook for Test 03. Where `test03_pt_biblical_complexity.ipynb` implements the primary measurement (Spearman ρ = 1.0, p = 6.65 × 10⁻⁶⁴), `test3_pt_validation.ipynb` applies additional"
test_10_laws.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\test_10_laws.md,5576,test_10_laws.ipynb,"When a test passes, it's not because the result looks reasonable. It passes because the computed output exactly matches the analytical prediction within numerical precision. These are not fuzzy compar"
test_base.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\test_base.md,3548,test_base.py,4. Implement its own result logging (inconsistent output format)
test_suite_summary.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\test_suite_summary.md,2373,test_suite_summary.json,**Category:** JSON Result File
THEOPHYSICS_COMPLETE_COLAB.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\THEOPHYSICS_COMPLETE_COLAB.md,4542,THEOPHYSICS_COMPLETE_COLAB.ipynb,
theophysics_core.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\theophysics_core.md,3935,theophysics_core.py,"This is also why the random seed is 2828 throughout — not just in this file, but enforced by importing this file. Every random draw in every notebook traces back to the same canonical seed, making eve"
Theophysics_JAX_Suite_v2.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\Theophysics_JAX_Suite_v2.md,2982,Theophysics_JAX_Suite_v2.ipynb,"The second version of the JAX Field Theory test suite. Incorporates improvements from v1 based on the result of the original run — cleaner test structure, additional tests, and corrected handling of t"
verify_master_equation.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\verify_master_equation.md,3164,verify_master_equation.ipynb,Where K is the 10×10 kinetic matrix with symmetry pair couplings. This canonical form is verified to match exactly what `maxwell_mirror_verification.ipynb` imports.
version_manager.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\version_manager.md,2441,version_manager.ipynb,"In academic research, reproducibility is the standard of proof. A result that can't be reproduced isn't a result. `version_manager.ipynb` makes the Theophysics suite's reproducibility verifiable."
VIZ_SET1_WOW_MOMENTS.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\VIZ_SET1_WOW_MOMENTS.md,3644,VIZ_SET1_WOW_MOMENTS.py,"- **Gray:** Grace declining (G = 1 initially, decays over time). Coherence holds, then slowly fades. Label: ""Grace Withdrawn."""
VIZ_SET2_HEATMAPS_CHARTS.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\VIZ_SET2_HEATMAPS_CHARTS.md,3496,VIZ_SET2_HEATMAPS_CHARTS.py,"Set 2 is for the technical audience — people who want to see the coupling structure, understand the sensitivity analysis, and follow the test results in detail. Where Set 1 communicates the core resul"
wolfram_gauntlet_sympy.md,//192.168.2.50/h_hp/Desktop 2/CANON\INTERPRETATIONS\wolfram_gauntlet_sympy.md,4590,wolfram_gauntlet_sympy.ipynb,The Maxwell mirror result (Part 4) is also notable: it shows that classical electromagnetism is contained within the chi-field as a 2D projection of a 10D structure. This isn't a poetic analogy — it's
LEAN4_THEOREM_COUNT_CANON_2026-07-01.md,//192.168.2.50/h_hp/Desktop 2/CANON\LEAN4_THEOREM_COUNT_CANON_2026-07-01.md,3027,Lean 4 Theorem Count Canon,
03_Master-Equation-Sheets.md,//192.168.2.50/h_hp/Desktop 2/LEAN 4\03_Master-Equation-Sheets.md,34844,SHEET: One-Page Summary,"χ = ∫∫∫∫  [ G₀ · e^(R_p / S) · R_J ]  /  [ 1 + E₀·e^(kt) + S₀·e^(-λR_pt) ]  ·  e^(-(Q·C))  ·  [1 + Σ F_i·e^(-d_i)]  ·  U(S_s)   dx dy dt dS_s,,,,,"
REPORT.md,//192.168.2.50/h_hp/Desktop 2/LEAN 4\evolution_sim_outputs\evolution_sim_outputs\REPORT.md,1378,Evolution Simulation Replication Report,
00_MASTER_ONE_PAGE_BUILDOUT_PLAN.md,//192.168.2.50/h_hp/Desktop 2/LEAN 4\Google CoLab Python\_CLAIM_HUB\01_today_bridge_docs\00_MASTER_ONE_PAGE_BUILDOUT_PLAN.md,9211,Master One-Page Buildout Plan,Use the page-quality audit result as the source signal:
COUPLING_BREAK_MAP.md,//192.168.2.50/h_hp/Desktop 2/LEAN 4\Google CoLab Python\_CLAIM_HUB\01_today_bridge_docs\COUPLING_BREAK_MAP.md,7249,Coupling Break Map,Known result homes:
FORMAL_TO_PHYSICS_GAUNTLET_AUDIT.md,//192.168.2.50/h_hp/Desktop 2/LEAN 4\Google CoLab Python\_CLAIM_HUB\01_today_bridge_docs\FORMAL_TO_PHYSICS_GAUNTLET_AUDIT.md,11204,Formal-to-Physics Gauntlet Audit,"| `D:\GitHub\Python-WEB\reports\lean_equation_audit\sources\github\DavidLoweOKC__theophysics\Codex\canonical\MASTER_TEST_STACK.md` | Historical test-stack status: built, partial, not built, pass/fail,"
PHYSICIST_OBJECTION_CLOSURE_MAP.md,//192.168.2.50/h_hp/Desktop 2/LEAN 4\Google CoLab Python\_CLAIM_HUB\01_today_bridge_docs\PHYSICIST_OBJECTION_CLOSURE_MAP.md,11415,Physicist Objection Closure Map,
TRIADIC_TERMINATION_BONES_v1.md,//192.168.2.50/h_hp/Desktop 2/LEAN 4\Google CoLab Python\_CLAIM_HUB\01_today_bridge_docs\TRIADIC_TERMINATION_BONES_v1.md,15521,THE TRIADIC TERMINATION THEOREM — SYNTHESIS BONES v1,"**Status: STRONGEST — machine-verified in Lean 4 (June 2026). 9 jobs, zero sorry.**"
TRIADIC_TERMINATION_CONDENSATION_v2.md,//192.168.2.50/h_hp/Desktop 2/LEAN 4\Google CoLab Python\_CLAIM_HUB\01_today_bridge_docs\TRIADIC_TERMINATION_CONDENSATION_v2.md,29792,THE TRIADIC TERMINATION THEOREM AND THE CONSCIOUSNESS LADDER,"**Status: STRONGEST — machine-verified in Lean 4 (June 2026). 9 jobs, zero sorry.**"
lean-workbook-alignment-audit.md,//192.168.2.50/h_hp/Desktop 2/LEAN 4\Google CoLab Python\_CLAIM_HUB\04_workbook_alignment_package\lean-workbook-alignment-audit.md,3188,Lean Workbook Alignment Audit,"- The new staging CSV uses the five required sentences: defined, formally proven, numerically demonstrated, empirically observed, and interpretation proposed."
lean-proof-readiness-packet.md,//192.168.2.50/h_hp/Desktop 2/LEAN 4\Google CoLab Python\_CLAIM_HUB\05_lean_proof_readiness_packet\lean-proof-readiness-packet.md,2597,Lean Proof Readiness Packet,
lean-repo-run-order.md,//192.168.2.50/h_hp/Desktop 2/LEAN 4\Google CoLab Python\_CLAIM_HUB\05_lean_proof_readiness_packet\lean-repo-run-order.md,2292,Lean Repo Run Order,
LEAN_CANONICAL_LEDGER.md,//192.168.2.50/h_hp/Desktop 2/LEAN 4\Google CoLab Python\_CLAIM_HUB\05_lean_proof_readiness_packet\LEAN_CANONICAL_LEDGER.md,2884,Lean Canonical Ledger Summary,
python-colab-bridge-packet-v2.md,//192.168.2.50/h_hp/Desktop 2/LEAN 4\Google CoLab Python\_CLAIM_HUB\06_python_colab_readiness_packet\python-colab-bridge-packet-v2.md,1484,Python / Colab Bridge Packet v2,Every runtime result should have four things before it supports a public claim:
