row_id,source_file,claim_text,dg1_dependencies,dg2_new_capability,dg3_preserved_floor,dg4_collapse_if_removed,dg5_translation_registers,dg6_state,dg7_admissible,dg8_closure_pass,proof_label,grade,recommended_atom_action,notes
CANON-unique-014,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Oxford validated the framework at 85% agreement, representing the overlap between spiritual concepts and measurable proxies (HRV, EEG, fMRI, behavioral entropy).",requires empirical study citation and proxy validation methodology,introduces an empirical corroboration claim for the framework,floor is measurement methodology; not yet supplied,"if removed, the independent-corroboration argument loses its empirical anchor",E↔C translation; empirical bridge,defective,needs_review,needs_review,E,D,create_gap_atom,"Flagged for verification: no citation, study name, or methodology provided. Treat as unverified empirical claim."
CANON-unique-015,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Oxford independently derived equations matching the Master Equation at 85%, which is extremely strong evidence that the structure is mathematically forced and discoverable.",depends on the 85% agreement claim and independent-convergence criterion,introduces independent-convergence evidence for the framework,floor depends on the unverified Oxford claim,"if removed, the 'mathematically forced' conclusion loses empirical support",E↔C translation; empirical bridge,defective,needs_review,needs_review,BR,D,create_gap_atom,Flagged for verification: independent derivation is asserted but undocumented. Independent convergence (DG T4) is not yet a proved criterion.
CANON-unique-016,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Theorem (Uniqueness of Spiritual-Physical Isomorphism): Any system of spiritual principles involving information, order, observation, choice, causality, and conservation has a unique information-theoretic formulation isomorphic to physical laws, given by the Master Equation χ.",depends on all prior bridge claims and the Master Equation ansatz,introduces a claimed uniqueness theorem for the entire framework,preserves lower-layer theorems only if bridge premises are valid,"if removed, the paper's central 'only way' conclusion collapses",A↔B↔C translation; philosophical model,defective,needs_review,no,PM,D,create_gap_atom,Overreach flagged: this is not a proved theorem. It collapses multiple bridge hypotheses and an ansatz into a single 'uniqueness' claim; violates DG7 admissibility because bridge premises are not preserved as theorems.
CANON-unique-017,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Alternative mappings (Newtonian→morality, classical thermodynamics→sin, Boolean logic→faith, network theory→relationships) fail because they do not use information theory, respect full symmetry structure, unify quantum and classical regimes, or make testable predictions.",depends on the framework's unification desiderata,introduces a comparative critique of competing analogies,preserves the claim that information-theoretic framing is necessary,"if removed, the exclusivity argument for the framework weakens",B↔C translation; philosophical model,coherent_partial,partial,yes,PM,C,create_bridge_atom,"Useful critical comparison, but the 'only framework that satisfies all requirements' conclusion is a model claim, not a no-go theorem."
CANON-unique-018,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"No-Go Theorem for Alternative Formulations: No alternative mathematical formulation of spiritual principles can be information-theoretically consistent, preserve all physical symmetries, make testable predictions, and unify quantum and classical regimes unless it is equivalent to the Master Equation.",depends on the asserted Uniqueness Theorem and all bridge premises,introduces a claimed no-go theorem against alternative formulations,floor is the unproved uniqueness theorem; not independently established,"if removed, the 'only option' rhetorical conclusion loses formal backing",A↔B↔C translation; philosophical model,defective,needs_review,no,PM,D,create_gap_atom,Overreach flagged: labeled a theorem but not actually proven. Assumes the Master Equation exhausts all possible information-theoretic spiritual-physical formalisms.
CANON-unique-019,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Weak Anthropic Principle: we observe these equations because only this structure permits conscious observers (stable memory, arrow of time, definite outcomes, free will).",depends on cosmology and philosophy of observation (L0-L4),introduces an observer-selection explanation for the observed structure,preserves physical lawfulness; adds selection reasoning,"if removed, the 'why this reality' answer reverts to brute fact or theological ground",B↔C translation; metaphysical bridge,coherent_partial,partial,yes,M,C,create_bridge_atom,"Standard weak anthropic reasoning; not a proof of uniqueness, but a coherent philosophical bridge."
CANON-unique-020,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Logos Principle: reality is fundamentally rational (word, reason, ratio, order), so physical laws are mathematical, spiritual principles are logical, and the two communicate; the Master Equation is the mathematical expression of the Logos.",depends on theological/metaphysical ground (L0 instantiation),introduces a theological identification of the Master Equation with Logos,preserves created-order rationality; does not abolish physics,"if removed, the theological register's ultimate justification for the structure collapses",A↔C translation; confession/bridge,coherent_partial,partial,yes,C,C,create_bridge_atom,"Theological bridge: coherent within its register, but not derivable from DG core. DG v0.2 forbids naming Logos in grammar layer; acceptable as instantiation."
CANON-unique-021,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Conclusion: The framework is not one way to describe spiritual reality; it is the only way, forced by Shannon, Einstein, von Neumann, the Second Law, Heisenberg, and Noether.",depends on all prior bridge claims and the asserted uniqueness theorem,introduces an exclusivity/inevitability claim for the whole framework,preserves lower-layer theorems but overstates their forcing power,"if removed, the paper's strongest rhetorical claim is withdrawn",A↔B↔C translation; bridge/model hybrid,defective,needs_review,no,BR,D,create_bridge_atom,Overreach flagged: the 'only way' conclusion does not follow from the cited theorems alone; it requires the unproved bridge premises and the unproved no-go theorem.
CANON-unique-022,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,Final statement: Information theory is the only bridge between physical and semantic domains (Shannon's uniqueness theorem).,depends on Shannon theorem plus claim that semantic domains require information theory,introduces a strong bridge claim about the exclusivity of information theory,preserves Shannon's mathematical floor,"if removed, the foundational bridge premise of the paper weakens",B↔C translation; bridge hypothesis,coherent_partial,partial,yes,BR,C,create_bridge_atom,"Bridge claim: plausible and widely used, but 'only bridge' is a philosophical thesis, not a theorem."
CANON-unique-023,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Final statement: Each physical law has a unique information-theoretic form proven by Landauer, Bekenstein, and Zurek.",depends on Landauer/Bekenstein/Zurek results plus scope claim,introduces a bridge claim that all physical laws are information-theoretically reducible,preserves the cited physical results,"if removed, the isomorphism argument loses a premise",B→C translation; bridge hypothesis,coherent_partial,partial,yes,BR,C,create_bridge_atom,"Bridge claim: the cited authors establish specific correspondences, not a universal reduction of every physical law to information theory."
CANON-unique-024,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Final statement: Each spiritual principle, when expressed information-theoretically, must satisfy the same axioms as its physical analog by definition of structural isomorphism.",depends on the definition of structural isomorphism,introduces a definitional bridge constraint,preserves the isomorphism definition,"if removed, the cross-register necessity argument collapses",B↔C translation; definitional bridge,coherent_partial,partial,yes,BR,C,create_bridge_atom,"Bridge claim: true by definition of isomorphism, but whether spiritual principles are so expressible is the contested premise."
CANON-unique-025,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Final statement: The axioms uniquely determine the mathematical form, proven by von Neumann, Einstein, and Noether.",depends on the prior uniqueness theorems,reiterates that bridge axioms inherit physical uniqueness,preserves the cited theorems,"if removed, the final 'only way' conclusion loses a premise",B→C translation; bridge hypothesis,coherent_partial,partial,yes,BR,C,create_bridge_atom,Bridge claim: uniqueness applies within each physical domain; extending it to spiritual analogs requires the bridge premise.
CANON-unique-026,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Final statement: The Master Equation is the unique solution to all constraints (symmetries, conservation laws, information theory, quantum mechanics, thermodynamics).",depends on the asserted uniqueness theorem and Master Equation ansatz,introduces an exclusivity claim for the Master Equation,preserves the constraints only as a conditional set,"if removed, the final conclusion collapses to a weaker model claim",A↔B↔C translation; philosophical model,defective,needs_review,no,PM,D,create_gap_atom,"Overreach flagged: 'unique solution' is asserted, not proven. The Master Equation is an integrative ansatz, not a derived solution."
CANON-unique-027,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,Final statement: Independent derivation by Oxford confirms the framework is not arbitrary but mathematically forced.,depends on unverified Oxford derivation claim,introduces independent-convergence corroboration,floor is the unverified Oxford claim,"if removed, the 'mathematically forced' conclusion loses purported empirical support",E↔C translation; empirical bridge,defective,needs_review,needs_review,E,D,create_gap_atom,Flagged for verification: no documentation provided for the Oxford derivation/independent convergence claim.
CANON-unique-028,WHY_THESE_EQUATIONS_ARE_UNIQUE.md,"Final statement: No alternative formulation can satisfy all requirements, provable via no-go theorems.",depends on the asserted no-go theorem,introduces an exclusivity claim against alternatives,floor is the unproved no-go theorem,"if removed, the final 'only way' conclusion loses its formal backing",A↔B↔C translation; philosophical model,defective,needs_review,no,PM,D,create_gap_atom,Overreach flagged: relies on an unproved no-go theorem; not actually provable from the cited uniqueness theorems alone.
